"meta:instanceID","Identificacao:Data","Identificacao:localGps:Latitude","Identificacao:localGps:Longitude","Identificacao:localGps:Altitude","Identificacao:localGps:Accuracy","Identificacao:Localizacao","Identificacao:Genero","Identificacao:ondemora","Identificacao:Idade","teste1","teste2","comunidade1","comunidade2","comunidade3","comunidade4","comunidade5","casa1","casa2","casa3","casa4","casa5","escola1","escola2","escola3","escola4","escola5","espacos1","espacos2","espacos3","espacos4","espacos5","pessoas1","pessoas2","pessoas3","pessoas4","pessoas5","eu1","eu2","eu3","eu4","eu5","FavelaNews1","FavelaNews2","FavelaNews3","FavelaNews4","FavelaNews5"
"uuid:0162b422-3fee-4933-b847-1da0967dc478","Mon Jun 09 00:00:00 UTC 2014","-8.0297806766","-34.9377301801","-4.8000000000","10.0000000000","null","F","Barbalho","10","0","2","0","2","2","2","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2","1","2","0"
"uuid:fef49a27-a31a-4914-b016-97f0d1be2899","Mon Jun 09 00:00:00 UTC 2014","-8.0300874542","-34.9379355367","-13.3000000000","10.0000000000","null","M","Detran","10","0","1","2","0","2","2","2","0","0","2","1","0","0","0","0","0","2","1","2","0","2","2","2","0","0","2","0","0","2","0","1","0","1","2","2","0","0"
"uuid:01ed4870-b38f-4a38-b598-999ca2d3eb97","Mon Jun 09 00:00:00 UTC 2014","-8.0297989072","-34.9377129972","-10.9000000000","15.0000000000","null","M","Iputinga","9","1","0","1","0","0","2","0","0","0","0","0","1","0","2","0","0","1","1","0","2","1","2","2","0","2","0","0","2","0","0","0","0","1","0","0","1","0"
"uuid:2d3df256-2b70-4e3c-a36d-2bb8321cfab5","Mon Jun 09 00:00:00 UTC 2014","null","null","null","null","Detran","M","Detran","12","0","1","0","1","0","2","0","1","0","0","0","0","0","1","0","0","0","1","1","2","2","2","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0"
"uuid:5cd25a52-8284-404a-aa47-2f1318f6d5f0","Mon Jun 09 00:00:00 UTC 2014","null","null","null","null","Rua sandolandia","F","Detran","11","0","0","0","0","0","2","0","0","0","0","0","1","0","2","2","2","0","2","1","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","0"
"uuid:c06e2f58-45de-402d-99be-347252e31e68","Mon Jun 09 00:00:00 UTC 2014","null","null","null","null","Rua sandolandia","M","Detran","9","0","0","0","0","0","2","0","0","0","2","0","0","0","2","0","2","0","0","2","0","2","2","2","2","0","0","0","0","0","0","0","0","2","0","0","0","0"
"uuid:49fbd817-dcc6-4834-8169-7bb6648b2f10","Mon Jun 09 00:00:00 UTC 2014","-8.0264019000","-34.9397517000","0E-10","1234.0000000000","Rua sandolandia","M","Detran","9","0","0","0","0","0","2","2","0","0","2","0","0","0","0","2","2","0","2","0","0","2","0","2","2","0","0","0","2","2","0","0","0","2","1","0","2","0"
"uuid:7d663545-f220-450b-a07a-547005a17a78","Mon Jun 09 00:00:00 UTC 2014","null","null","null","null","Rua ministro Marco freire","M","Detran","12","0","2","1","1","0","1","0","0","0","2","2","1","1","0","0","0","1","2","1","0","0","1","2","2","0","2","0","0","0","0","0","1","1","2","0","0","0"
"uuid:6f4bb580-aa63-47ea-ba1d-e6a4d897275c","Mon Jun 09 00:00:00 UTC 2014","null","null","null","null","Rua compositor sergio lisboa","M","Detran","10","1","2","0","0","1","1","1","0","0","2","0","1","0","1","1","1","1","0","0","0","0","1","1","2","2","0","0","1","0","0","0","1","2","2","0","0","0"
"uuid:fd370dd0-57ee-41c6-9808-ee6ca971a0e9","Mon Jun 09 00:00:00 UTC 2014","-8.0294538662","-34.9379620235","15.0000000000","10.0000000000","null","M","null","12","0","0","0","2","0","0","2","0","0","2","0","0","0","2","0","2","2","0","2","0","2","2","0","2","2","2","2","0","0","0","0","0","2","2","2","0","0"
"uuid:81388db9-22ac-4da0-b67f-ee41e1d21770","Mon Jun 09 00:00:00 UTC 2014","null","null","null","null","Detran","F","Detran","10","0","1","0","2","2","2","2","0","0","1","0","1","0","2","0","1","2","2","1","2","1","2","0","0","2","2","0","1","0","0","0","0","0","2","1","0","0"
"uuid:9efd7377-659b-48bc-8e47-f3db82793b34","Mon Jun 09 00:00:00 UTC 2014","-8.0297334000","-34.9421021000","0E-10","1415.0000000000","null","M","Detran","11","0","2","0","0","0","2","0","0","0","1","0","0","0","0","1","0","0","0","0","2","2","0","0","0","2","2","0","2","2","0","0","0","0","2","1","0","0"
"uuid:26585c52-ad7c-4d75-a749-37d1b14d7dcf","Mon Jun 09 00:00:00 UTC 2014","-8.0297334000","-34.9421021000","0E-10","1415.0000000000","null","F","Detran","11","0","1","2","2","0","2","0","0","0","1","0","1","0","2","2","0","2","2","0","0","2","0","0","0","2","1","0","2","2","0","0","0","0","2","0","1","0"
"uuid:86fe9e2c-8c7c-40b7-9cfd-901acb278b44","Mon Jun 09 00:00:00 UTC 2014","null","null","null","null","Detran","F","Detran","9","0","2","0","1","0","2","0","0","0","2","0","0","0","0","0","0","0","0","2","0","2","2","2","0","2","0","0","2","2","0","0","0","1","2","0","0","0"
"uuid:041134ac-f586-4da6-b4c4-ae601eeb9dd8","Mon Jun 09 00:00:00 UTC 2014","-8.0297334000","-34.9421021000","0E-10","1415.0000000000","null","M","Detran","10","0","1","1","1","1","2","2","0","0","1","0","1","1","2","0","2","1","1","2","1","1","1","2","0","1","0","0","0","0","0","1","0","0","2","0","0","0"
"uuid:fb0c2fc4-d4fa-4dad-905a-98996119f95b","Mon Jun 09 00:00:00 UTC 2014","-8.0297334000","-34.9421021000","0E-10","1415.0000000000","rua Sampaio","M","Detran","10","0","1","0","0","0","1","0","0","0","2","0","1","0","0","0","2","0","0","1","0","2","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"uuid:4c7c628e-e272-4e22-be61-e72f5089053b","Mon Jun 23 00:00:00 UTC 2014","-8.0390279274","-34.8733477760","-10.2000000000","5.0000000000","null","M","Rua paraiba santo amaro","9","1","0","0","1","2","0","1","0","0","1","0","1","0","2","2","0","0","2","0","0","0","0","2","0","2","1","0","0","0","0","0","0","1","0","0","0","0"
"uuid:dde5924a-af88-42ab-a0fc-7d181f223574","Mon Jun 16 00:00:00 UTC 2014","null","null","null","null","Rua mario albuquerque","M","Santa amaro","8","0","2","0","1","0","1","0","0","0","2","0","0","1","0","0","2","0","0","0","2","0","0","0","0","0","2","0","0","2","0","0","0","0","2","2","0","0"
"uuid:74e2f085-f165-48a0-907c-839a8b8a7c06","Mon Jun 16 00:00:00 UTC 2014","null","null","null","null","Rua cordeiro de deus","M","Santo amaro","10","0","1","0","0","0","1","0","0","0","2","0","0","1","0","0","1","0","2","2","0","2","2","2","0","1","1","0","1","2","0","0","0","1","1","0","0","0"
"uuid:8fa25d64-202f-4dec-bd19-d6b38e9f6f43","Mon Jun 16 00:00:00 UTC 2014","null","null","null","null","Rua cordeiro de deus","F","Santo amaro","8","1","0","1","0","0","1","0","0","0","2","0","2","0","0","0","0","0","2","0","0","2","2","2","0","1","1","0","1","1","0","1","1","1","1","1","1","1"
"uuid:ccdeefe4-c5fb-457c-b8ed-4f261c674408","Mon Jun 16 00:00:00 UTC 2014","null","null","null","null","Rua da unidade","M","Santo amaro","9","0","1","0","0","0","0","0","0","0","2","1","0","1","0","0","2","0","0","0","0","1","0","2","0","1","0","0","1","2","1","0","0","1","1","0","1","0"
"uuid:8e5a6c0b-68da-410d-b7cb-eb04581ca833","Mon Jun 16 00:00:00 UTC 2014","-8.0385736000","-34.8741910000","0E-10","29.0000000000","null","F","Santo amaro","12","0","1","0","0","1","1","0","1","0","1","0","1","0","2","0","2","1","0","1","0","2","2","2","0","1","0","0","0","1","0","0","0","0","1","1","1","0"
"uuid:c9299975-9128-4628-85db-97c1c522cff9","Mon Jun 16 00:00:00 UTC 2014","null","null","null","null","Rua M?rio abulquerque","F","Santo Amaro","11","0","0","0","0","1","1","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","1","0","1","2","0"
"uuid:4df7bfec-e40b-4651-b470-254311328fd3","Mon Jun 16 00:00:00 UTC 2014","-8.0383877177","-34.8734322656","13.4000000000","10.0000000000","null","M","Rua da lapa","12","0","1","0","1","0","1","1","0","0","1","0","0","1","0","2","0","0","1","0","1","2","1","1","0","0","1","0","1","0","0","1","0","1","1","0","1","0"
